"PID","Audio_stimuli","Number","Speaker","Condition","CB","Sentence","Response","Response_Target","Target_Acc","Keyword","Target","Lure","ContentWords","Keyword_Acc","Lure_Acc","ContentWords_Correct","ContentWords_Acc","Context_Correct","Context_Acc"
11712692,"FHA_L1_S02.wav","S02","L1","I","CB1","She used her phone to make the ball","She used her phone to make the ball.","ball.",1,"phone","ball","call","used, phone, make",1,0,3,1,7,1
11712692,"FHA_L1_S05.wav","S05","L1","I","CB1","Use a comb to fix your bear","Use a comb to fix your bear.","bear.",1,"comb","bear","hair","use, comb, fix",1,0,3,1,6,1
11712692,"FHA_L1_S39.wav","S39","L1","C","CB1","He went to the baker to get fresh bread","He went to the baker to get fresh bread.","bread.",1,"baker","bread","xxx8","went, baker, get, fresh",1,0,4,1,8,1
11712692,"FHA_L1_S12.wav","S12","L1","I","CB1","You need wax to make a handle","You need wax to make a handle.","handle.",1,"wax","handle","candle","wax, make",1,0,2,1,6,1
11712692,"FHA_L1_S10.wav","S10","L1","I","CB1","He used a mop to clean the float","He used a mop to clean the float.","float.",1,"clean","float","floor","used, mop, clean",1,0,3,1,7,1
11712692,"FHA_L1_S44.wav","S44","L1","C","CB1","You'll need a key to open the door","You'll need a key to open the door.","door.",1,"key","door","xxx13","need, key, open",1,0,3,1,7,1
11712692,"FHA_L1_S45.wav","S45","L1","C","CB1","Plant a hedge instead of building a fence","Plant a hedge instead of building a fence.","fence.",1,"hedge","fence","xxx14","plant, hedge, instead, building",1,0,4,1,7,1
11712692,"FHA_L1_S37.wav","S37","L1","C","CB1","You will frequently turn a page when reading a book","You will frequently turn a page when reading a book.","book.",1,"page","book","xxx6","turn, page, reading",1,0,3,1,9,1
11712692,"FHA_L1_S43.wav","S43","L1","C","CB1","She sung in the school choir","She sung in the school choir.","choir.",1,"sung","choir","xxx12","sung, school",1,0,2,1,5,1
11712692,"FHA_L1_S41.wav","S41","L1","C","CB1","The girl swept the floor with a broom","The girl swept the floor with a broom.","broom.",1,"floor","broom","xxx10","girl, swept, floor",1,0,3,1,7,1
11712692,"FHA_L1_S06.wav","S06","L1","I","CB1","He went to the tracks to watch the brain","He went to the tracks to watch the brain.","brain.",1,"tracks","brain","train","went, tracks, watch",1,0,3,1,8,1
11712692,"FHA_L1_S07.wav","S07","L1","I","CB1","Use this spray to kill the bus","Use the spray to kill the bus.","bus.",1,"spray","bus","bug, bugs","use, spray, kill",1,0,3,1,5,0.833333333333333
11712692,"FHA_L1_S42.wav","S42","L1","C","CB1","They built a moat around the castle","They built a moat around the castle.","castle.",1,"moat","castle","xxx11","built, moat, around",1,0,3,1,6,1
11712692,"FHA_L1_S15.wav","S15","L1","I","CB1","You will need cards to play joker","You will need cards to play joker.","joker.",1,"cards","joker","poker","need, cards, play",1,0,3,1,6,1
11712692,"FHA_L1_S34.wav","S34","L1","C","CB1","He got drunk at the local bar","He got drunk at the local bar.","bar.",1,"drunk","bar","xxx3","drunk, local",1,0,2,1,6,1
11712692,"FHA_L1_S08.wav","S08","L1","I","CB1","Twist the lid to open the car","Twist the lid to open the car.","car.",1,"open","car","jar","twist, lid, open",1,0,3,1,6,1
11712692,"FHA_L1_S04.wav","S04","L1","I","CB1","Wipe your feet on the bat","Wipe your feet on the bat.","bat.",1,"feet","bat","mat","wipe, feet",1,0,2,1,5,1
11712692,"FHA_L1_S01.wav","S01","L1","I","CB1","We put salt on the street to melt the ace","We put salt on the street to melt the ice.","ice.",0,"melt","ace","ice","put, salt, street, melt",1,1,4,1,9,1
11712692,"FHA_L1_S13.wav","S13","L1","I","CB1","They served soup in a hole","They served soup in a hole.","hole.",1,"soup","hole","bowl","served, soup",1,0,2,1,5,1
